cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps
2.9,34.3,0,1212416,196,134
3.1,34.3,0,1007616,91,201
4.6,34.3,0,1007616,66,0
2.0,34.3,0,974848,196,134
2.5,34.3,0,974848,155,405
3.3,34.3,0,1245184,262,220
5.0,34.3,0,1720320,66,223
2.4,34.3,0,974848,544,570
3.1,34.4,0,20275200,7975,14755
4.8,34.4,0,1417216,432,368
6.9,34.4,0,765952,392,268
4.1,34.5,0,774144,759,759
3.8,34.4,0,757760,2013,7833
3.0,34.5,0,696320,156,114
3.9,34.5,0,618496,421,306
3.4,34.4,0,688128,367,220
1.8,34.4,0,1122304,0,0
2.9,34.4,0,1056768,155,597
3.1,34.5,0,561152,196,134
1.4,34.5,0,688128,284,364
2.1,34.4,0,548864,196,134
1.5,34.4,0,1245184,0,0
9.8,34.4,0,1007616,155,373
3.1,34.5,0,1032192,282,240
1.5,34.4,0,1212416,0,0
1.9,34.4,0,1007616,348,318
3.3,34.4,0,1007616,0,0
1.1,34.4,0,1011712,434,330
2.3,34.3,0,1007616,156,114
1.1,34.3,0,1007616,172,129
3.7,34.3,0,1527808,392,268
1.9,34.2,0,974848,282,295
3.2,34.2,0,974848,351,523
1.4,34.3,0,974848,156,114
4.5,34.4,0,1007616,367,715
4.9,34.4,0,1290240,196,134
2.3,34.4,0,974848,0,0
3.5,34.4,0,1708032,86,161
3.1,34.4,0,19316736,196,134
1.5,34.4,0,757760,0,0
3.8,34.4,0,757760,807,478
1.6,34.4,0,761856,0,0
2.9,34.4,0,757760,0,0
1.5,34.4,0,757760,196,134
1.9,34.4,0,757760,156,451
1.4,34.4,0,757760,282,295
3.6,34.3,0,622592,0,0
1.0,34.3,0,618496,392,354
1.9,34.3,0,917504,308,275
1.1,34.3,0,688128,0,0
4.7,34.3,0,618496,650,751
1.1,34.3,0,548864,196,134
1.2,34.3,0,548864,724,134
1.8,34.2,0,618496,328,542
2.6,34.2,0,688128,196,134
3.5,34.2,0,548864,348,710
4.4,34.3,0,851968,465,1040
4.9,34.2,0,618496,442,698
3.1,34.3,0,552960,196,134
1.3,34.2,0,643072,172,215
1.0,34.2,0,548864,262,134
2.0,34.2,0,618496,91,115
4.9,33.8,0,548864,152,161
2.1,33.8,0,1007616,282,232
6.2,33.9,0,1024000,658,1015
4.2,33.9,0,1531904,417,635
3.7,33.9,0,1187840,0,0
12.6,34.4,0,1347584,32793,77286
17.8,34.5,0,18669568,47753,46521
22.3,35.1,0,1196032,1315667,63033
35.6,35.5,0,794624,983741,77503
9.3,35.6,0,770048,161943,33537
6.8,35.5,0,761856,3808,31869
11.7,35.4,0,1118208,30849,51778
15.8,35.7,0,548864,81161,27921
16.8,36.0,0,688128,198964,17317
27.6,36.4,0,745472,100432,50986
31.1,36.6,0,548864,23124,22653
12.2,36.6,0,1159168,889,901
14.4,36.5,0,2334720,91561,6535
11.6,36.4,0,1249280,14248,8359
18.8,36.8,0,1011712,1683803,28847
11.7,36.7,0,1265664,163189,14235
9.2,36.7,0,1007616,196,240
9.6,36.7,0,1007616,86,161
12.7,36.6,0,1560576,321426,8103
11.2,36.5,0,1007616,0,0
8.6,36.6,0,3735552,478,535
25.6,36.9,0,1609728,218276,6250
22.2,37.4,0,2822144,181739,13453
8.4,37.2,0,3170304,5126,1077
15.5,37.2,438272,1794048,6334,2071
15.2,37.5,0,1335296,108768,23313
7.0,37.7,0,1011712,23091,897
3.9,37.7,0,974848,7489,520
8.1,37.7,0,1003520,262,220
12.5,38.1,0,1376256,9332723,108904
14.5,38.0,0,1769472,1980845,34807
13.1,38.0,49152,2867200,2464,11353
5.6,37.9,0,54571008,152,449
6.7,37.5,0,1241088,351,220
4.0,37.4,0,757760,404,988
3.0,37.3,0,757760,0,0
6.1,37.3,0,1179648,711,1591
8.7,36.7,0,2031616,307,662
7.4,36.6,0,724992,351,651
5.8,36.5,0,618496,86,161
