cpu_percent,ram_percent,disk_read_Bps,disk_write_Bps,net_in_Bps,net_out_Bps
13.0,30.5,0,684032,0,0
13.4,30.5,0,831488,152,247
12.2,30.5,0,757760,74,185
12.6,30.5,0,614400,282,134
13.5,30.5,0,1273856,716,692
13.1,30.5,0,688128,392,268
17.9,30.3,0,917504,24155,21412
30.2,30.5,0,630784,2005549,40069
13.2,30.4,0,618496,2636817,25136
11.8,30.4,0,950272,90,86
10.5,30.4,0,622592,196,134
10.9,30.4,0,630784,282,295
11.3,30.4,0,864256,86,161
11.2,30.2,0,1011712,0,0
10.9,30.2,0,1007616,0,0
10.4,30.2,0,1003520,243,276
30.9,29.9,0,2891776,506,1275
10.1,29.9,0,1007616,655,544
10.3,29.9,0,1003520,348,295
11.4,29.9,0,978944,86,161
10.6,29.8,0,974848,0,0
24.2,30.1,0,1626112,44309,8042
22.1,30.3,61440,1081344,35990,16780
27.2,30.4,0,974848,2111230,40003
